,Sales,Releases,Age,X360,Wii,XOne,WiiU,PS3,NS,PS4
The Learning Company  ,0.0,0,18.0,0,0,0,0,0,0,0
20th Century Fox Video Games  ,0.0,0,36.0,0,0,0,0,0,0,0
DMM Games  ,0.02,1,0.0,0,0,0,0,0,1,0
Axela  ,0.0,0,20.0,0,0,0,0,0,0,0
Mediascape  ,0.04,1,2.0,0,0,0,0,0,0,1
Spike Chunsoft  ,0.06,1,0.0,0,0,0,0,0,0,1
Gathering of Developers  ,0.0,0,17.0,0,0,0,0,0,0,0
NCS  ,0.0,0,22.0,0,0,0,0,0,0,0
Tryfirst   ,0.0,0,10.0,0,0,0,0,0,0,0
Paradox Interactive   ,0.33999999999999997,2,1.0,0,0,1,0,0,0,1
Crave Entertainment  ,9.600000000000003,40,22.0,1,1,0,0,1,0,0
Sears   ,0.0,0,40.0,0,0,0,0,0,0,0
GungHo Online Entertainment  ,0.04,1,2.0,0,0,0,0,0,0,1
Locus  ,0.0,0,20.0,0,0,0,0,0,0,0
Sega  ,197.5700000000001,192,35.0,1,1,1,1,1,1,1
Essential Games  ,0.0,0,11.0,0,0,0,0,0,0,0
Simon & Schuster Interactive  ,0.0,0,16.0,0,0,0,0,0,0,0
Blast! Entertainment Ltd  ,0.12000000000000001,2,9.0,0,1,0,0,0,0,0
The Adventure Company  ,0.76,4,15.0,0,1,0,0,0,0,0
BPS  ,0.0,0,27.0,0,0,0,0,0,0,0
Sound Source Interactive  ,0.0,0,18.0,0,0,0,0,0,0,0
Brash Entertainment  ,0.84,6,11.0,1,1,0,0,0,0,0
Scholastic Inc.  ,1.24,2,10.0,0,1,0,0,0,0,0
TYO  ,0.0,0,20.0,0,0,0,0,0,0,0
Milkstone Studios  ,0.02,1,3.0,0,0,1,0,0,0,0
Unknown  ,10.349999999999987,65,38.0,1,1,1,0,1,1,0
Taxan  ,0.0,0,30.0,0,0,0,0,0,0,0
Aspyr  ,0.48,2,13.0,1,0,0,0,0,0,0
VR Sports  ,0.0,0,22.0,0,0,0,0,0,0,0
Crystal Dynamics  ,0.0,0,23.0,0,0,0,0,0,0,0
Telltale Games  ,10.6,33,7.0,1,1,1,0,1,1,1
Revolution Software  ,0.17,2,3.0,0,0,1,0,0,0,1
G.Rev  ,0.08,2,9.0,1,0,0,0,0,0,0
Klei Entertainment  ,0.07,1,0.0,0,0,0,0,0,0,1
Pinnacle  ,0.72,1,9.0,0,1,0,0,0,0,0
